0:0:4,55,0.69,-0.09,-0.68,-41,277,75,516,0
0:0:4,56,0.66,-0.09,-0.68,-19,317,77,510,0
0:0:4,57,0.65,-0.09,-0.68,-4,352,69,516,0
0:0:4,58,0.65,-0.10,-0.67,1,434,53,516,0
0:0:4,59,0.69,-0.09,-0.66,6,479,60,514,0
0:0:4,60,0.69,-0.10,-0.67,-22,505,76,515,0
0:0:4,61,0.69,-0.10,-0.67,-49,550,85,513,0
0:0:4,62,0.71,-0.10,-0.67,-62,574,95,511,0
0:0:4,63,0.73,-0.10,-0.67,-56,529,78,512,0
0:0:4,64,0.75,-0.12,-0.67,-59,440,76,514,0
0:0:4,65,0.76,-0.11,-0.66,-63,345,66,515,0
0:0:4,66,0.76,-0.11,-0.66,-67,242,51,513,0
0:0:4,67,0.75,-0.09,-0.65,-47,131,47,516,0
0:0:4,68,0.72,-0.10,-0.64,-35,138,57,512,0
0:0:4,69,0.70,-0.10,-0.65,-50,193,49,512,0
0:0:4,70,0.72,-0.10,-0.67,-68,215,63,516,0
0:0:4,71,0.72,-0.11,-0.66,-99,222,58,514,0
0:0:4,72,0.73,-0.09,-0.66,-106,194,55,511,0
0:0:4,73,0.72,-0.08,-0.64,-98,189,54,514,0
0:0:4,74,0.72,-0.09,-0.64,-86,249,38,514,0
0:0:4,75,0.73,-0.10,-0.65,-103,283,33,516,0
0:0:4,76,0.72,-0.09,-0.66,-122,325,33,515,0
0:0:4,77,0.72,-0.08,-0.65,-127,367,32,515,0
0:0:4,78,0.73,-0.08,-0.63,-113,368,24,516,0
0:0:4,79,0.74,-0.09,-0.63,-91,329,20,513,0
0:0:4,80,0.74,-0.09,-0.63,-84,286,26,515,0
0:0:4,81,0.75,-0.09,-0.63,-76,227,19,512,0
0:0:4,82,0.73,-0.10,-0.64,-68,168,29,514,0
0:0:4,83,0.73,-0.10,-0.64,-66,188,29,514,0
0:0:4,84,0.72,-0.10,-0.64,-76,224,30,515,0
0:0:4,85,0.73,-0.09,-0.64,-78,245,28,521,0
0:0:5,86,0.75,-0.08,-0.62,-57,220,38,517,0
0:0:5,87,0.75,-0.09,-0.64,-59,186,31,510,0
0:0:5,88,0.73,-0.09,-0.64,-69,203,30,513,0
0:0:5,89,0.73,-0.09,-0.64,-75,228,31,516,0
0:0:5,90,0.74,-0.09,-0.64,-75,253,20,512,0
0:0:5,91,0.75,-0.09,-0.63,-73,226,13,509,0
0:0:5,92,0.75,-0.09,-0.63,-64,179,23,514,0
0:0:5,93,0.74,-0.09,-0.64,-72,182,31,514,0
0:0:5,94,0.73,-0.10,-0.64,-84,213,31,513,0
0:0:5,95,0.73,-0.08,-0.64,-76,235,34,510,0
0:0:5,96,0.74,-0.08,-0.61,-68,235,30,511,0
0:0:5,97,0.76,-0.09,-0.63,-67,205,37,515,0
0:0:5,98,0.75,-0.09,-0.64,-66,201,33,514,0
0:0:5,99,0.75,-0.09,-0.64,-76,206,21,516,0
0:0:5,100,0.74,-0.09,-0.63,-74,219,20,513,0
0:0:5,101,0.75,-0.08,-0.63,-68,218,33,514,0
0:0:5,102,0.75,-0.09,-0.63,-82,206,29,516,0
0:0:5,103,0.75,-0.09,-0.63,-92,206,32,511,0
0:0:5,104,0.75,-0.09,-0.64,-100,209,26,515,0
0:0:5,105,0.74,-0.08,-0.61,-87,231,17,512,0
0:0:5,106,0.75,-0.09,-0.63,-78,224,13,516,0
0:0:5,107,0.74,-0.09,-0.63,-91,230,15,514,0
0:0:5,108,0.75,-0.08,-0.62,-85,211,26,513,0
0:0:5,109,0.75,-0.08,-0.61,-74,199,34,518,0
0:0:5,110,0.73,-0.09,-0.62,-79,249,29,512,0
0:0:5,111,0.75,-0.09,-0.62,-79,242,12,518,0
0:0:5,112,0.75,-0.09,-0.61,-70,211,19,508,0
0:0:5,113,0.75,-0.09,-0.61,-59,194,24,511,0
0:0:5,114,0.74,-0.09,-0.62,-70,210,30,515,0
0:0:5,115,0.75,-0.09,-0.62,-65,216,28,512,0
0:0:5,116,0.75,-0.08,-0.63,-63,213,39,517,0
0:0:5,117,0.74,-0.08,-0.62,-69,240,35,514,0
0:0:5,118,0.76,-0.09,-0.61,-69,233,38,514,0
0:0:5,119,0.75,-0.08,-0.62,-70,194,42,517,0
0:0:5,120,0.75,-0.08,-0.62,-73,194,49,509,0
0:0:5,121,0.75,-0.07,-0.62,-65,221,59,515,0
0:0:5,122,0.76,-0.08,-0.63,-66,227,54,514,0
0:0:5,123,0.76,-0.09,-0.62,-67,230,39,512,0
0:0:5,124,0.76,-0.09,-0.61,-71,210,36,515,0
0:0:5,125,0.76,-0.08,-0.62,-76,211,37,511,0
0:0:5,126,0.76,-0.08,-0.62,-76,226,44,513,0
0:0:5,127,0.77,-0.08,-0.61,-76,223,36,514,0
0:0:5,128,0.77,-0.08,-0.61,-66,202,40,516,0
0:0:5,129,0.76,-0.08,-0.62,-64,212,32,515,0
0:0:5,130,0.76,-0.08,-0.61,-65,204,35,511,0
0:0:6,131,0.75,-0.08,-0.62,-76,214,36,515,0
0:0:6,132,0.76,-0.08,-0.61,-78,215,33,514,0
0:0:6,133,0.75,-0.08,-0.61,-62,207,27,515,0
0:0:6,134,0.75,-0.08,-0.62,-67,220,31,514,0
0:0:6,135,0.76,-0.08,-0.62,-81,233,35,512,0
0:0:6,136,0.76,-0.08,-0.61,-81,244,45,514,0
0:0:6,137,0.76,-0.08,-0.61,-84,243,40,514,0
0:0:6,138,0.78,-0.08,-0.61,-81,221,32,516,0
0:0:6,139,0.77,-0.08,-0.61,-78,229,26,515,0
0:0:6,140,0.77,-0.08,-0.61,-77,230,24,513,0
0:0:6,141,0.78,-0.09,-0.61,-87,229,11,515,0
0:0:6,142,0.78,-0.08,-0.60,-79,197,16,514,0
0:0:6,143,0.77,-0.07,-0.60,-87,186,19,515,0
0:0:6,144,0.76,-0.07,-0.60,-80,201,18,514,0
0:0:6,145,0.76,-0.07,-0.60,-71,215,7,512,0
0:0:6,146,0.77,-0.07,-0.59,-64,203,17,514,0
0:0:6,147,0.76,-0.08,-0.61,-71,192,33,510,0
0:0:6,148,0.76,-0.07,-0.61,-66,213,34,516,0
0:0:6,149,0.78,-0.07,-0.60,-53,200,32,517,0
0:0:6,150,0.77,-0.08,-0.61,-55,204,31,512,0
0:0:6,151,0.77,-0.09,-0.60,-65,199,35,509,0
0:0:6,152,0.76,-0.09,-0.61,-71,192,37,513,0
0:0:6,153,0.76,-0.08,-0.61,-77,210,40,518,0
0:0:6,154,0.76,-0.07,-0.61,-71,213,51,512,0
0:0:6,155,0.76,-0.08,-0.61,-73,209,62,514,0
0:0:6,156,0.77,-0.08,-0.61,-79,203,49,510,0
0:0:6,157,0.77,-0.07,-0.60,-84,206,49,516,0
0:0:6,158,0.76,-0.07,-0.60,-80,225,53,513,0
0:0:6,159,0.77,-0.07,-0.60,-81,233,55,514,0
0:0:6,160,0.78,-0.07,-0.60,-78,232,47,518,0
0:0:6,161,0.78,-0.08,-0.60,-70,213,39,513,0
0:0:6,162,0.79,-0.08,-0.60,-60,189,28,513,0
0:0:6,163,0.76,-0.08,-0.59,-56,191,35,515,0
0:0:6,164,0.75,-0.08,-0.60,-54,207,48,514,0
0:0:6,165,0.75,-0.07,-0.60,-63,228,56,514,0
0:0:6,166,0.76,-0.07,-0.60,-52,239,64,514,0
0:0:6,167,0.76,-0.08,-0.60,-37,244,67,517,0
0:0:6,168,0.77,-0.08,-0.60,-30,257,59,515,0
0:0:6,169,0.76,-0.07,-0.61,-12,281,43,517,0
0:0:6,170,0.75,-0.07,-0.61,13,345,16,510,0
0:0:6,171,0.76,-0.06,-0.60,66,382,-23,513,0
0:0:6,172,0.77,-0.04,-0.61,142,401,-55,511,0
0:0:6,173,0.78,-0.05,-0.61,213,345,-73,518,0
0:0:6,174,0.79,-0.05,-0.61,274,237,-82,510,0
0:0:6,175,0.79,-0.07,-0.63,277,145,-93,519,0
0:0:7,176,0.79,-0.08,-0.62,273,126,-93,513,1
0:0:7,177,0.79,-0.07,-0.61,257,206,-94,517,1
0:0:7,178,0.80,-0.07,-0.58,292,295,-119,515,1
0:0:7,179,0.82,-0.08,-0.55,379,326,-184,513,1
0:0:7,180,0.79,-0.09,-0.54,525,335,-292,517,1
0:0:7,181,0.78,-0.11,-0.53,675,351,-370,512,1
0:0:7,182,0.77,-0.16,-0.56,659,310,-354,513,1
0:0:7,183,0.77,-0.15,-0.54,567,249,-261,516,1
0:0:7,184,0.83,-0.17,-0.51,449,167,-168,512,1
0:0:7,185,0.78,-0.17,-0.54,328,286,-184,516,1
0:0:7,186,0.77,-0.16,-0.53,174,478,-201,517,1
0:0:7,187,0.77,-0.13,-0.50,36,643,-135,512,1
0:0:7,188,0.81,-0.12,-0.48,-44,728,-41,513,1
0:0:7,189,0.87,-0.14,-0.47,-120,733,-2,513,1
0:0:7,190,0.93,-0.13,-0.46,-240,539,47,515,1
0:0:7,191,0.93,-0.11,-0.46,-354,389,128,516,1
0:0:7,192,0.90,-0.12,-0.47,-468,411,146,513,1
0:0:7,193,0.88,-0.10,-0.44,-543,516,122,511,1
0:0:7,194,0.87,-0.08,-0.45,-601,604,113,515,1
0:0:7,195,0.89,-0.06,-0.47,-646,603,106,515,1
0:0:7,196,0.89,-0.06,-0.45,-674,569,124,514,1
0:0:7,197,0.91,-0.07,-0.43,-684,527,132,513,1
0:0:7,198,0.91,-0.08,-0.41,-666,464,147,515,1
0:0:7,199,0.90,-0.06,-0.44,-656,527,135,511,1
0:0:7,200,0.88,-0.04,-0.45,-617,636,112,515,1
0:0:7,201,0.88,-0.07,-0.46,-607,715,100,511,1
0:0:7,202,0.89,-0.06,-0.44,-573,746,97,514,1
0:0:7,203,0.90,-0.03,-0.43,-494,762,93,514,1
0:0:7,204,0.91,-0.05,-0.43,-410,734,86,518,1
0:0:7,205,0.93,-0.04,-0.44,-326,686,67,519,1
0:0:7,206,0.94,-0.03,-0.44,-226,629,60,512,1
0:0:7,207,0.94,-0.04,-0.43,-162,491,36,512,1
0:0:7,208,0.95,-0.05,-0.40,-118,410,35,509,1
0:0:7,209,0.96,-0.05,-0.41,-105,318,22,516,1
0:0:7,210,0.93,-0.05,-0.40,-99,291,2,512,1
0:0:7,211,0.91,-0.03,-0.40,-81,292,-14,516,1
0:0:7,212,0.92,-0.04,-0.39,-55,281,-7,511,1
0:0:7,213,0.92,-0.05,-0.38,-53,275,5,510,1
0:0:7,214,0.94,-0.05,-0.38,-72,235,29,516,1
0:0:7,215,0.93,-0.05,-0.37,-97,252,46,513,1
0:0:7,216,0.92,-0.05,-0.35,-100,332,57,515,1
0:0:7,217,0.93,-0.06,-0.34,-79,356,64,514,1
0:0:7,218,0.95,-0.05,-0.33,-45,308,71,515,1
0:0:7,219,0.95,-0.05,-0.33,-41,234,78,512,1
0:0:8,220,0.96,-0.06,-0.35,-53,210,68,511,2
0:0:8,221,0.94,-0.06,-0.36,-71,247,68,513,2
0:0:8,222,0.96,-0.04,-0.35,-75,275,69,511,2
0:0:8,223,0.96,-0.03,-0.35,-62,245,79,513,2
