0:0:3,45,0.55,-0.42,-0.67,261,124,170,514
0:0:3,46,0.52,-0.41,-0.68,291,144,145,510
0:0:3,47,0.52,-0.38,-0.66,334,137,127,515
0:0:3,48,0.56,-0.36,-0.66,408,-26,115,515
0:0:3,49,0.55,-0.37,-0.67,459,-118,88,514
0:0:3,50,0.55,-0.39,-0.69,455,-141,46,514
0:0:3,51,0.55,-0.40,-0.69,429,-145,-5,512
0:0:3,52,0.57,-0.43,-0.67,413,-203,-51,516
0:0:3,53,0.61,-0.46,-0.68,384,-278,-91,513
0:0:3,54,0.59,-0.48,-0.71,315,-249,-143,511
0:0:3,55,0.58,-0.49,-0.71,236,-196,-203,512
0:0:3,56,0.58,-0.49,-0.68,173,-180,-252,516
0:0:3,57,0.56,-0.49,-0.67,117,-177,-285,516
0:0:3,58,0.55,-0.49,-0.67,94,-220,-301,515
0:0:3,59,0.54,-0.50,-0.67,61,-244,-289,516
0:0:3,60,0.51,-0.50,-0.66,32,-223,-274,505
0:0:3,61,0.50,-0.50,-0.65,-4,-172,-260,512
0:0:3,62,0.49,-0.50,-0.62,-11,-137,-234,512
0:0:3,63,0.49,-0.51,-0.63,-24,-168,-198,516
0:0:4,64,0.46,-0.51,-0.65,-42,-111,-174,514
0:0:4,65,0.44,-0.52,-0.64,-51,-40,-132,509
0:0:4,66,0.44,-0.50,-0.63,-29,-5,-78,521
0:0:4,67,0.46,-0.52,-0.63,-22,-13,-28,511
0:0:4,68,0.47,-0.51,-0.64,4,-45,24,511
0:0:4,69,0.46,-0.51,-0.65,0,6,52,514
0:0:4,70,0.47,-0.48,-0.64,-11,103,98,513
0:0:4,71,0.48,-0.45,-0.66,-3,65,150,512
0:0:4,72,0.50,-0.39,-0.68,19,19,191,516
0:0:4,73,0.50,-0.36,-0.71,24,34,229,517
0:0:4,74,0.50,-0.38,-0.72,-33,48,212,513
0:0:4,75,0.50,-0.39,-0.73,-79,39,187,512
0:0:4,76,0.52,-0.40,-0.71,-117,-12,166,514
0:0:4,77,0.51,-0.42,-0.71,-134,-49,156,517
0:0:4,78,0.48,-0.41,-0.71,-158,31,136,514
0:0:4,79,0.49,-0.39,-0.71,-169,71,141,514
0:0:4,80,0.48,-0.39,-0.71,-168,54,154,513
0:0:4,81,0.47,-0.40,-0.70,-189,46,168,515
0:0:4,82,0.46,-0.41,-0.69,-215,85,194,512
0:0:4,83,0.46,-0.37,-0.70,-222,178,235,516
0:0:4,84,0.46,-0.35,-0.70,-246,287,253,513
0:0:4,85,0.47,-0.35,-0.69,-254,293,243,511
0:0:4,86,0.49,-0.36,-0.71,-250,236,213,515
0:0:4,87,0.48,-0.38,-0.70,-259,280,201,513
0:0:4,88,0.47,-0.36,-0.70,-267,338,216,517
0:0:4,89,0.47,-0.36,-0.69,-268,377,206,513
0:0:4,90,0.48,-0.36,-0.69,-248,403,200,511
0:0:4,91,0.51,-0.37,-0.70,-203,377,184,512
0:0:4,92,0.50,-0.37,-0.71,-183,377,162,513
0:0:4,93,0.49,-0.36,-0.68,-158,414,140,518
0:0:4,94,0.50,-0.34,-0.68,-114,458,135,515
0:0:4,95,0.52,-0.32,-0.68,-57,434,146,518
0:0:4,96,0.54,-0.33,-0.71,-23,348,153,516
0:0:4,97,0.54,-0.33,-0.70,3,322,140,511
0:0:4,98,0.55,-0.34,-0.69,23,330,115,519
0:0:4,99,0.56,-0.34,-0.71,36,309,104,509
0:0:4,100,0.56,-0.35,-0.73,30,336,91,512
0:0:4,101,0.54,-0.34,-0.74,8,491,64,516
0:0:4,102,0.52,-0.34,-0.71,-20,655,59,509
0:0:4,103,0.62,-0.32,-0.67,3,511,78,514
0:0:4,104,0.64,-0.30,-0.68,62,251,111,512
0:0:4,105,0.61,-0.30,-0.68,95,106,136,510
0:0:4,106,0.58,-0.30,-0.69,103,99,135,513
0:0:4,107,0.58,-0.30,-0.68,100,126,126,515
0:0:5,108,0.61,-0.32,-0.67,104,88,125,519
0:0:5,109,0.61,-0.32,-0.67,113,62,128,512
0:0:5,110,0.61,-0.32,-0.67,123,25,135,515
0:0:5,111,0.60,-0.34,-0.68,119,29,147,513
0:0:5,112,0.61,-0.35,-0.67,110,34,139,510
0:0:5,113,0.61,-0.35,-0.66,108,40,145,516
0:0:5,114,0.61,-0.35,-0.66,106,45,153,514
0:0:5,115,0.60,-0.34,-0.66,101,51,156,515
0:0:5,116,0.60,-0.33,-0.66,105,57,153,510
